date,NO2
2025-10-24,2.692268429070412e-05
2026-06-03,3.414611504405341e-05
2026-05-29,3.113047017849925e-05
2026-06-02,2.895565309053072e-05
2026-06-01,4.509671760659214e-05
2026-05-30,3.227748496509117e-05
2026-05-28,3.264391125412658e-05
2026-05-27,4.529178584591852e-05
2026-05-31,3.293734238120143e-05
2026-04-16,2.396774354045712e-05
2026-04-13,2.6115384584122245e-05
2026-04-15,3.361363655728868e-05
2026-04-12,2.399865586673567e-05
2026-04-10,3.501928359531481e-05
2026-04-11,3.527401662891904e-05
2026-04-09,1.5510392889458064e-05
2026-04-14,2.052294349949888e-05
2026-01-03,
2026-01-04,
2026-01-06,2.0765758137031295e-05
2026-01-10,
2026-01-07,
2026-01-08,3.407842782240443e-05
2026-01-05,
2026-01-09,3.511512055151148e-05
2026-08-10,4.440119364762968e-05
2026-08-07,3.53223582389243e-05
2026-08-09,3.505843694320635e-05
2026-08-08,3.805092262727036e-05
2026-08-13,4.489439958309628e-05
2026-08-12,3.868572107042686e-05
2026-08-11,3.424551378698611e-05
2026-08-14,3.558329760664336e-05
2026-07-09,5.73416013043913e-05
2026-07-10,5.617548198312182e-05
2026-07-07,4.67667629409869e-05
2026-07-08,4.330192477673468e-05
2026-07-11,4.441994133230765e-05
2026-07-13,3.751941278551385e-05
2026-07-06,3.5507729232146325e-05
2026-07-12,5.175466976208732e-05
2026-03-26,
2026-03-30,4.345589036902089e-05
2026-03-24,
2026-03-31,3.483117461655638e-05
2026-03-28,2.678686250874307e-05
2026-03-27,2.824315189933927e-05
2026-03-25,2.891539032554227e-05
2026-03-29,4.6477697712058825e-05
2026-07-28,3.006176204076313e-05
2026-07-24,3.730164029348532e-05
2026-07-25,5.580627745957551e-05
2026-07-26,4.25784179884324e-05
2026-07-22,4.230513398824212e-05
2026-07-29,3.8597805741281336e-05
2026-07-23,3.843503957166551e-05
2026-07-27,4.525718207124632e-05
2025-09-03,2.7129970396799764e-05
2025-09-04,3.424975042390194e-05
2025-09-02,2.0853752603893263e-05
2025-08-29,3.303120104192203e-05
2025-08-30,4.3266600654793104e-05
2025-08-28,2.1077860613634886e-05
2025-08-31,2.837577415376789e-05
2025-09-01,3.7455673415987646e-05
2025-09-30,
2025-10-01,1.895666148689865e-05
2025-10-02,2.886373580482681e-05
2025-10-06,3.345307132568215e-05
2025-10-04,4.262152485049834e-05
2025-10-03,3.079038309493548e-05
2025-10-05,2.1556806705516262e-05
2025-09-29,4.085816066356568e-05
2025-11-06,
2025-11-03,
2025-11-05,2.551295720281657e-05
2025-10-31,2.3843554994787803e-05
2025-11-02,2.84944862195752e-05
2025-11-04,2.8204197690229197e-05
2025-11-07,5.054479735859317e-05
2025-11-01,2.6915644745410343e-05
2026-01-01,
2025-12-29,3.11953796318975e-05
2026-01-02,1.2538582996057813e-05
2025-12-28,3.069099086133065e-05
2025-12-30,2.436987562340129e-05
2025-12-31,
2025-12-26,2.8646561986533925e-05
2025-12-27,
2026-03-19,2.7703361658432025e-05
2026-03-16,4.641515015127543e-05
2026-03-21,
2026-03-22,1.3482546516267272e-05
2026-03-23,4.615403492978119e-05
2026-03-20,5.280895885724541e-05
2026-03-17,3.231691862867815e-05
2026-03-18,4.011410635360005e-05
2026-06-13,4.459393597547508e-05
2026-06-16,4.489622567114084e-05
2026-06-15,3.3687504217052806e-05
2026-06-19,4.94754849850577e-05
2026-06-18,3.560872477091601e-05
2026-06-14,2.6808015126047585e-05
2026-06-17,4.319873206488984e-05
2026-06-12,
2026-08-24,5.033695825576697e-05
2026-08-23,4.1544605355139226e-05
2026-03-08,
2026-03-09,2.9077544683319945e-05
2026-03-12,2.1914289137922345e-05
2026-03-10,1.9406659703236077e-05
2026-03-13,3.016104229903828e-05
2026-03-15,4.024456057808932e-05
2026-03-11,5.820957958349027e-05
2026-03-14,4.252324462119277e-05
2026-04-06,3.001359088776898e-05
2026-04-02,2.5790738128797293e-05
2026-04-05,2.850300832725914e-05
2026-04-04,1.9160252106810857e-05
2026-04-08,2.0623470169457735e-05
2026-04-01,3.254567977297692e-05
2026-04-03,2.798591779300956e-05
2026-04-07,1.663574517074551e-05
