date,NO2
2026-07-21,3.747289081078589e-05
2026-07-15,4.382910049381005e-05
2026-07-20,4.715491899954526e-05
2026-07-17,4.0114908188115805e-05
2026-07-16,3.966281049026686e-05
2026-07-14,5.109908069602115e-05
2026-07-19,3.7355467097050245e-05
2026-07-18,4.496416351265417e-05
2025-09-08,3.1230964153413274e-05
2025-09-10,5.039193985629192e-05
2025-09-12,2.644644510008569e-05
2025-09-11,3.073255628377785e-05
2025-09-06,3.425899396224059e-05
2025-09-07,5.106161038651515e-05
2025-09-09,4.0882514800820366e-05
2025-09-05,2.735527191982163e-05
2025-10-11,3.247713367012953e-05
2025-10-12,3.299203120220157e-05
2025-10-14,3.4348986093614164e-05
2025-10-09,3.718152653438741e-05
2025-10-13,2.293466002727299e-05
2025-10-10,3.10831332297249e-05
2025-10-07,3.895618879774886e-05
2025-10-08,3.025858161275421e-05
2026-03-03,3.325364286865806e-05
2026-03-05,
2026-03-06,3.307301903987536e-05
2026-03-02,
2026-03-01,2.644821649412804e-05
2026-03-04,2.8559611050498106e-05
2026-02-28,2.778239703569424e-05
2026-03-07,1.1849660040752497e-05
2025-12-19,
2025-12-23,3.1800570060771984e-05
2025-12-18,3.9300695789279416e-05
2025-12-25,2.801100027430384e-05
2025-12-21,2.8903649157048975e-05
2025-12-24,3.450344699255462e-05
2025-12-20,
2025-12-22,2.791229586104497e-05
2026-02-03,2.9236157565214347e-05
2026-02-01,
2026-01-31,3.850873177975254e-05
2026-01-28,1.3455743101076225e-05
2026-01-29,2.106242103200822e-05
2026-02-02,
2026-01-27,
2026-01-30,2.798924848690376e-05
2026-05-15,3.723048807752967e-05
2026-05-17,2.150497877257043e-05
2026-05-11,2.481649774495054e-05
2026-05-16,4.11218836099444e-05
2026-05-18,3.1747219096629395e-05
2026-05-12,3.468773816671779e-05
2026-05-14,4.418704702402465e-05
2026-05-13,3.3856030123994664e-05
2026-07-02,4.360100740234122e-05
2026-07-04,3.806942128237648e-05
2026-07-03,4.341110978000668e-05
2026-07-01,4.196730647783946e-05
2026-06-29,5.042004241576333e-05
2026-06-30,5.08009427104491e-05
2026-07-05,3.634664099563727e-05
2026-06-28,4.098901935440549e-05
2026-07-31,3.810487341188887e-05
2026-08-01,3.777807140305294e-05
2026-08-06,4.128194369027475e-05
2026-07-30,4.054049055412179e-05
2026-08-04,3.692710470204474e-05
2026-08-05,3.86800527712694e-05
2026-08-02,2.2025752406214037e-05
2026-08-03,2.529742970446316e-05
2025-08-25,2.68131734628696e-05
2025-08-26,3.9645201247891016e-05
2025-08-27,3.5977816027271354e-05
2025-08-24,
2025-09-20,1.906234192907372e-05
2025-09-16,
2025-09-18,3.967501931713612e-05
2025-09-15,2.969064490361444e-05
2025-09-14,4.037646194178035e-05
2025-09-19,1.862542848910237e-05
2025-09-13,4.11228668812062e-05
2025-09-17,3.101043053352202e-05
2025-12-15,2.6358893574769565e-05
2025-12-10,3.088214407398482e-05
2025-12-16,1.261767788997127e-05
2025-12-17,2.652886276166555e-05
2025-12-12,2.1975629433721706e-05
2025-12-13,1.550718404056776e-05
2025-12-11,2.090741478306362e-05
2025-12-14,
2026-05-06,4.253575567972957e-05
2026-05-03,
2026-05-04,3.693417803051175e-05
2026-05-05,2.8831973184529435e-05
2026-08-16,3.546087780956315e-05
2026-08-21,4.2204201167805874e-05
2026-08-18,2.69754577857384e-05
2026-08-15,3.97318349804174e-05
2026-08-19,3.296936197192267e-05
2026-08-22,4.533065623683674e-05
2026-08-17,2.557127406272601e-05
2026-08-20,3.4110034178319026e-05
2026-06-06,3.694426697875953e-05
2026-06-11,4.2498695363221226e-05
2026-06-05,4.1135514927439296e-05
2026-06-07,5.052993728528199e-05
2026-06-10,4.40035531245882e-05
2026-06-09,4.084668709232703e-05
2026-06-08,4.438502703358667e-05
2026-06-04,4.57968167833506e-05
2025-11-10,5.294979396589602e-05
2025-11-14,5.209305527387187e-05
2025-11-12,
2025-11-08,2.9910611730251137e-05
2025-11-09,
2025-11-13,
2025-11-11,4.1209580688571024e-05
2025-11-15,
2026-02-04,3.878309932285144e-05
2026-02-05,2.2411634745367337e-05
2026-02-11,
2026-02-06,3.814944360177227e-05
2026-02-09,
2026-02-07,
2026-02-08,3.5285790376250124e-05
2026-02-10,8.136736293333039e-06
2025-10-18,2.5012461885968905e-05
2025-10-19,2.8571635681373664e-05
2025-10-22,
2025-10-16,4.2729522925179074e-05
2025-10-20,1.9973778260715208e-05
2025-10-15,4.132727455422961e-05
2025-10-21,
2025-10-17,3.5917383756896014e-05
2026-01-23,
2026-01-25,2.5667003335590437e-05
2026-01-19,2.7046420786009e-05
2026-01-21,
2026-01-22,
2026-01-26,
2026-01-20,
2026-01-24,1.700811091254195e-05
2026-05-02,2.6529103251959896e-05
2026-04-26,3.068263810013405e-05
2026-04-25,3.2575851429328394e-05
2026-05-01,3.7347265274349965e-05
2026-04-27,3.754583167392411e-05
2026-04-29,1.4470515138565956e-05
2026-04-30,2.440537036818569e-05
2026-04-28,2.04289013026937e-05
2026-06-22,3.547365705950748e-05
2026-06-26,5.126457467985199e-05
2026-06-20,3.607454062271784e-05
2026-06-21,3.3637904769940565e-05
2026-06-27,3.968962107592233e-05
2026-06-23,
2026-06-24,3.603997771506329e-05
2026-06-25,4.755296404255205e-05
2025-11-20,4.776550022969869e-05
2025-11-19,4.734242920676479e-05
2025-11-17,
2025-11-22,3.55613573019047e-05
2025-11-23,3.80168125470196e-05
2025-11-18,3.6736748630314e-05
2025-11-21,2.5497019177076736e-05
2025-11-16,3.958935503760586e-05
2026-02-14,
2026-02-13,
2026-02-16,2.743330696830526e-05
2026-02-19,2.7438672191237856e-05
2026-02-18,
2026-02-15,3.158807715711494e-05
2026-02-12,4.0595522780980296e-05
2026-02-17,
2026-05-08,3.107080296028949e-05
2026-05-10,2.782229843802979e-05
2026-05-07,3.855976635552199e-05
2026-05-09,2.77135213764268e-05
2026-02-25,
2026-02-23,
2026-02-24,
2026-02-26,1.1569433809199836e-05
2026-02-22,
2026-02-21,
2026-02-20,3.0238465548055023e-05
2026-02-27,3.149920707073761e-05
2025-09-25,3.1827693387560685e-05
2025-09-27,3.83880350065218e-05
2025-09-23,4.78341546958557e-05
2025-09-24,3.766776087455913e-05
2025-09-21,2.9254131890332285e-05
2025-09-22,2.906533616421964e-05
2025-09-28,2.04552014713019e-05
2025-09-26,2.9678387727472e-05
2025-11-30,3.928719516724496e-05
2025-11-26,3.4556387866111685e-05
2025-11-25,3.937423086123696e-05
2025-11-28,1.725245934380837e-05
2025-11-29,
2025-12-01,3.889766610252711e-05
2025-11-27,1.7855874830274843e-05
2025-11-24,
2026-01-17,
2026-01-15,
2026-01-11,
2026-01-14,
2026-01-13,
2026-01-16,
2026-01-18,1.7909955204231665e-05
2026-01-12,
2026-05-21,2.925595108536072e-05
2026-05-19,2.6260812153359727e-05
2026-05-23,3.159001887921939e-05
2026-05-25,4.372195284956416e-05
2026-05-26,3.2715746184539824e-05
2026-05-20,1.993890221389692e-05
2026-05-22,4.736602810832361e-05
2026-05-24,2.6984450125217503e-05
2026-04-21,3.4707376702470586e-05
2026-04-20,3.354992403210629e-05
2026-04-19,3.034469027900769e-05
2026-04-22,
2026-04-18,2.6958450569440656e-05
2026-04-17,2.746866785995595e-05
2026-04-24,1.4820945231382629e-05
2026-04-23,2.1292208660885508e-05
2025-12-04,
2025-12-05,2.9491758324632007e-05
2025-12-02,3.222358958737459e-05
2025-12-06,3.38343670591712e-05
2025-12-09,
2025-12-08,3.865458518248488e-05
2025-12-03,2.3899832740426064e-05
2025-12-07,1.927870082063521e-05
2025-10-27,
2025-10-23,3.4480267155837886e-05
2025-10-29,
2025-10-26,3.752114304234056e-05
2025-10-28,2.416521101622493e-05
2025-10-30,3.452641331316573e-05
2025-10-25,3.778628602698778e-05
