date,feature_index,SO2
2025-09-20T00:00:00.000Z,0,
2025-09-16T00:00:00.000Z,0,-4.2648433306497354E-5
2025-09-18T00:00:00.000Z,0,
2025-09-15T00:00:00.000Z,0,1.2826297249072618E-4
2025-09-14T00:00:00.000Z,0,4.4997688945613845E-5
2025-09-19T00:00:00.000Z,0,-4.5803270215681274E-5
2025-09-13T00:00:00.000Z,0,1.3549406867241487E-4
2025-09-17T00:00:00.000Z,0,2.1932926150232863E-5
2025-12-04T00:00:00.000Z,0,
2025-12-05T00:00:00.000Z,0,-9.395395463798195E-5
2025-12-02T00:00:00.000Z,0,
2025-12-06T00:00:00.000Z,0,-1.6891479026526213E-4
2025-12-09T00:00:00.000Z,0,
2025-12-08T00:00:00.000Z,0,2.751088647658305E-4
2025-12-03T00:00:00.000Z,0,-1.4796401956118643E-4
2025-12-07T00:00:00.000Z,0,4.000596300102188E-5
2026-02-25T00:00:00.000Z,0,-1.8143063061870635E-4
2026-02-23T00:00:00.000Z,0,-3.252602861418078E-6
2026-02-24T00:00:00.000Z,0,
2026-02-26T00:00:00.000Z,0,
2026-02-22T00:00:00.000Z,0,
2026-02-21T00:00:00.000Z,0,
2026-02-20T00:00:00.000Z,0,
2026-02-27T00:00:00.000Z,0,6.592473744817921E-5
2026-03-03T00:00:00.000Z,0,
2026-03-05T00:00:00.000Z,0,-5.661683985636046E-5
2026-03-06T00:00:00.000Z,0,-7.243652362376451E-4
2026-03-02T00:00:00.000Z,0,
2026-03-01T00:00:00.000Z,0,-7.547212460069984E-6
2026-03-04T00:00:00.000Z,0,-6.719631658467863E-6
2026-02-28T00:00:00.000Z,0,2.6070823878399096E-5
2026-03-07T00:00:00.000Z,0,1.4174939912793758E-4
2026-05-02T00:00:00.000Z,0,1.535950644980543E-4
2026-04-26T00:00:00.000Z,0,-2.7343974079485633E-5
2026-04-25T00:00:00.000Z,0,1.849511108957813E-5
2026-05-01T00:00:00.000Z,0,1.8759712111204863E-4
2026-04-27T00:00:00.000Z,0,-1.1942466562686604E-4
2026-04-29T00:00:00.000Z,0,-1.4373684704575376E-4
2026-04-30T00:00:00.000Z,0,-6.580694753210992E-5
2026-04-28T00:00:00.000Z,0,-3.9797347795911264E-5
2026-08-16T00:00:00.000Z,0,6.8811207984254E-5
2026-08-21T00:00:00.000Z,0,-4.36415584772476E-6
2026-08-18T00:00:00.000Z,0,3.5592069070844445E-4
2026-08-15T00:00:00.000Z,0,1.0957527229038532E-5
