date,NO2
2025-08-30,
2025-08-31,2.9723292300332105e-05
2025-09-01,3.837949725493672e-05
2025-09-02,3.89666292903712e-05
2025-09-03,4.978568813385209e-05
2025-09-04,3.173917866661213e-05
2025-09-05,2.4572579150117235e-05
2025-09-06,2.4987172461502876e-05
2025-09-07,2.540176577288852e-05
2025-09-08,2.581635908427416e-05
2025-09-09,2.4978942747111432e-05
2025-09-10,2.9462529710144736e-05
2025-09-11,3.394611667317804e-05
2025-09-12,2.615100038383389e-05
2025-09-13,4.04464517487213e-05
2025-09-14,3.675695188576356e-05
2025-09-15,2.9826974544751767e-05
2025-09-16,2.721684296602689e-05
2025-09-17,2.4606711387302006e-05
2025-09-18,2.1996579808577128e-05
2025-09-19,1.938644822985225e-05
2025-09-20,2.276662598887924e-05
2025-09-21,2.4072176529443823e-05
2025-09-22,3.719567348525743e-05
2025-09-23,3.456442027527373e-05
2025-09-24,4.251577229297254e-05
2025-09-25,4.420895902512712e-05
2025-09-26,4.40545302353712e-05
2025-09-27,4.390010144561529e-05
2025-09-28,1.2309195881243795e-05
2025-09-29,1.5208723084469966e-05
2025-09-30,1.8108250287696137e-05
2025-10-01,2.1007777490922308e-05
2025-10-02,2.390730469414848e-05
2025-10-03,3.786866727750749e-05
2025-10-04,3.418760510006299e-05
2025-10-05,3.3202622034878004e-05
2025-10-06,4.131327568757115e-05
2025-10-07,3.864225800498389e-05
2025-10-08,2.7763830075855367e-05
2025-10-09,3.265447276135092e-05
2025-10-10,2.344059066672344e-05
2025-10-11,4.276050579695342e-05
2025-10-12,4.095858639630024e-05
2025-10-13,3.228032437618822e-05
2025-10-14,3.042866137548117e-05
2025-10-15,5.7746769016375765e-05
2025-10-16,5.500345832842868e-05
2025-10-17,4.932230331178289e-05
2025-10-18,5.03311045273828e-05
2025-10-19,2.2302730485535e-05
2025-10-20,2.3508248627227404e-05
2025-10-21,2.4713766768919807e-05
2025-10-22,2.591928491061221e-05
